Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
10-Feb-26,23752.6,23796.4,23691.5,23753.75,2366549899,92767.36
9-Feb-26,23600.85,23693.05,23535.4,23683.4,2727014602,86849.99
6-Feb-26,23366.5,23447,23211.4,23434,2281330748,84985.49
5-Feb-26,23509.75,23509.95,23337.35,23411.7,2511176041,84315.42
4-Feb-26,23414.1,23562.7,23284.45,23534.95,2891821213,99872.34
3-Feb-26,23870.2,23912.35,23355.5,23446.3,3833568757,134446.7
2-Feb-26,22595.45,22869.7,22408.5,22837,2701638490,94471.03
1-Feb-26,23067.5,23160.1,22337.3,22611.3,2763739018,94014.67
30-Jan-26,22994.3,23110.2,22916,23079.5,4157027368,119533.57
29-Jan-26,23107.5,23158.6,22922.6,23134.8,3420325244,118344.5
28-Jan-26,22899.6,23101.75,22884.5,23082.1,2978398505,105358.36
27-Jan-26,22752.7,22886.95,22562.95,22819.25,2998178455,111580.76
23-Jan-26,23072.3,23073.35,22679.7,22706.2,2468758298,85893.6
22-Jan-26,23013.45,23144.55,22888.5,23008.75,2492411717,87635.23
21-Jan-26,22864.5,22981.8,22586.8,22835.15,3504392687,95123.55
20-Jan-26,23365.65,23368.15,22888.65,22946.65,3041011603,87191.3
19-Jan-26,23443.3,23443.35,23324.85,23373.75,2722038438,83263.34
16-Jan-26,23502.85,23652.7,23455.5,23485.3,2936679815,95044.95
14-Jan-26,23422.1,23558.7,23399.9,23475.85,2735985365,84496.83
13-Jan-26,23603.45,23627.05,23336.05,23480.65,2794307318,77163.65
12-Jan-26,23459.4,23533.45,23199.5,23510.45,3129313561,77628.47
9-Jan-26,23646.75,23741.75,23407.7,23467.35,4459908928,83657.03
8-Jan-26,23996.2,24010.45,23657.35,23680.1,2749321338,79202.12
7-Jan-26,23995.85,24050.55,23942.25,24016.6,2265878328,79968.48
6-Jan-26,24042.9,24089.75,23941.4,24010.5,2680293138,83790.81
5-Jan-26,24123.1,24144.2,23999.15,24058.45,3139430638,78123.63
2-Jan-26,23935.95,24107.7,23921.45,24099,3709759369,76298.98
1-Jan-26,23914.65,23925.55,23835.55,23909.55,4549066214,61090.24
31-Dec-25,23710.45,23921.45,23709.55,23871.55,5274274084,72500.25
30-Dec-25,23675.3,23704.2,23599.9,23668.8,3358226298,117206.42
29-Dec-25,23804.4,23826.75,23660.3,23682.1,2424578413,71269.63
26-Dec-25,23841.95,23885.35,23752.55,23780.25,2226444927,58956.34
24-Dec-25,23903.1,23956.8,23836.55,23850.25,1966164763,58656.48
23-Dec-25,23906.1,23929.25,23825.15,23895.15,2603971855,62760.36
22-Dec-25,23760.95,23878.65,23743.25,23867.65,2515529008,68528.7
19-Dec-25,23562.65,23688.35,23548.95,23677.55,3169592583,88374.73
18-Dec-25,23469.8,23553.25,23363.5,23491.5,2344645813,60354.17
17-Dec-25,23597.6,23635.05,23449.5,23496.05,2064690210,59233.15
16-Dec-25,23676.8,23687.35,23542.55,23570.15,2091910465,60755.65
15-Dec-25,23654,23735.7,23591.3,23725.2,2428579771,56373.6
12-Dec-25,23620.35,23737.7,23613,23726.2,2602084873,66340.35
11-Dec-25,23421.9,23562.15,23344.25,23550.85,2437003320,59739.79
10-Dec-25,23540.15,23628.3,23386.8,23408.8,1992852190,65716.21
9-Dec-25,23447.05,23556.35,23259.7,23516.25,2622795803,83851.91
8-Dec-25,23821.75,23833.15,23460.7,23526.2,2450939904,76869.46
5-Dec-25,23720.7,23848.45,23672.35,23835.25,2307946947,69498.77
4-Dec-25,23718.1,23820.45,23680.25,23741.1,2641738712,68074.99
3-Dec-25,23813.45,23845.8,23641.75,23716.3,2804603221,68541.08
2-Dec-25,23870.6,23925.85,23782.75,23822.25,2795199358,74458.39
1-Dec-25,24034.95,24035,23871.75,23922.45,2116075701,61417.98
28-Nov-25,23968.8,23979.7,23907.75,23933.2,1920440245,59132.06
27-Nov-25,24011.9,24026.25,23879.6,23947.75,1997416096,65385.7
26-Nov-25,23654.75,23965.35,23654.75,23955.2,1899668415,72747.91
25-Nov-25,23700.55,23745.5,23635.8,23655.05,2053977530,64646.9
24-Nov-25,23827.25,23835.2,23642.55,23674.55,2959476022,130954.76
21-Nov-25,23917.5,23938.3,23776.3,23790.25,2298585392,65706.1
20-Nov-25,23984.4,24032.1,23918.8,23975.45,2955697821,72544.38
19-Nov-25,23832.55,23924.3,23766.6,23906.3,2593488320,68474.15
18-Nov-25,23970.45,23973.05,23800.95,23824.65,2112594964,73519.86
17-Nov-25,23889.55,23964.75,23863.55,23954.55,2631139705,70659.35
14-Nov-25,23751.25,23858.3,23717,23836.35,3964047813,86013.8
13-Nov-25,23867.65,23935.1,23793.65,23816,3037180329,79618.14
12-Nov-25,23796.95,23874.85,23766.2,23836.9,2814135378,88500.35
11-Nov-25,23634.65,23693.8,23476.3,23682.65,3609409888,83666.68
10-Nov-25,23545.35,23658.85,23542.1,23596.9,2082418577,74767.56
7-Nov-25,23441.05,23570.1,23291.2,23521.5,2876263184,96784.14
6-Nov-25,23683.35,23713.4,23501.05,23513.15,2624601878,92332.79
4-Nov-25,23811.3,23829.7,23660.2,23675.45,3128490717,84046.19
3-Nov-25,23711.95,23840.1,23695.15,23810.7,4238426359,77447.88
31-Oct-25,23847.6,23913.45,23698.05,23710.4,3213345729,93045.83
30-Oct-25,23933.65,23949.75,23804.45,23841.3,4777088281,85117.8
29-Oct-25,23851.55,23971.55,23821.3,23952.4,3035898490,92831.63
28-Oct-25,23844.75,23907.55,23717.05,23812.55,3399680297,91743.52
27-Oct-25,23742.7,23856.3,23723.4,23840.9,4714669733,74511.31
24-Oct-25,23796.2,23802.75,23622.8,23686.6,2386118868,66872.48
23-Oct-25,23899.75,23926.1,23727.6,23755.9,3380895846,93576.32
21-Oct-25,23791.9,23818.35,23723.4,23759.2,554547944,13122.04
20-Oct-25,23699.35,23766.55,23654.75,23716.1,2366392268,78266.71
17-Oct-25,23547,23679.05,23515.85,23598.05,2424903090,87424.32
16-Oct-25,23443.3,23592.85,23428.15,23563.8,2245759058,81622.54
15-Oct-25,23227.55,23400.95,23224.15,23377.35,2313925374,73882.14
14-Oct-25,23349.75,23374,23121.5,23184.05,2346426788,72389.47
13-Oct-25,23245.05,23315.65,23201.55,23294.8,2623096603,66727.85
10-Oct-25,23247.45,23374.25,23220.05,23337.55,2817528890,72731.68
9-Oct-25,23144.3,23251.65,23101.85,23241.75,2181993612,68120.62
8-Oct-25,23197.95,23265.2,23087.9,23109.35,2554774781,67947.97
7-Oct-25,23191.35,23275.1,23170.85,23209.5,2955320339,75433.04
6-Oct-25,23055.15,23177.25,23008.3,23169.65,2716653000,70900.53
3-Oct-25,22905.1,23037.5,22874.15,23027.7,2496262558,87205.82
1-Oct-25,22745.95,22943.2,22726.25,22928.3,2297302092,80373.9
30-Sep-25,22793.65,22829.2,22669.3,22734.1,2176230104,83496.37
29-Sep-25,22783.9,22865.1,22677,22739.1,2709087711,111450.73
26-Sep-25,22965.9,22994.15,22692.7,22713.15,3064275966,78065.88
25-Sep-25,23169.45,23235.55,23009.55,23022.4,2315120592,80403.11
24-Sep-25,23293.4,23317.2,23165.95,23178.25,2239198714,73191.6
23-Sep-25,23408.2,23434.3,23253.1,23325.25,2976679386,84838
22-Sep-25,23434.75,23523.55,23335.1,23381.45,2624970390,82516
19-Sep-25,23530.6,23541.3,23451.6,23486.65,4927091950,112953.61
18-Sep-25,23534.15,23538.9,23434.45,23518.9,2122913596,74945.21
17-Sep-25,23419.1,23464.4,23395.75,23445.2,2265541425,74653.76
16-Sep-25,23240.25,23386.65,23217.3,23369.3,2372002424,69438.26
15-Sep-25,23213.15,23249.2,23182.05,23215.85,3309950844,62955.58
12-Sep-25,23171.55,23210.4,23129.9,23190.25,2596050320,70672.84
11-Sep-25,23073.45,23128.55,23065.7,23102.65,2145968911,74196.51
10-Sep-25,23056.8,23121.75,23027.05,23074.15,2367614060,69349.81
9-Sep-25,22949.55,22964.05,22893.05,22949.1,2010928320,56901.71
8-Sep-25,22892.8,22974.85,22835.9,22878.65,2299628386,59253.2
5-Sep-25,22891.75,22916,22718.5,22829.15,3447324689,61225.59
4-Sep-25,23116.9,23116.9,22795,22819.65,3011809920,81710.49
3-Sep-25,22764,22877.35,22709.2,22864.65,3099428223,72038.77
2-Sep-25,22758.2,22858.2,22678.45,22724.4,2719306900,68531.75
1-Sep-25,22491.9,22720.55,22491.9,22713.55,2711533790,65828.19
29-Aug-25,22524.15,22624.7,22443.8,22462.95,2876456343,74820.72
28-Aug-25,22762.25,22762.25,22529.6,22541.65,2918941120,87203.22
26-Aug-25,22994.85,23013.05,22746.75,22768.65,4447916261,124368.44
25-Aug-25,23069.3,23106.9,23022.1,23052,2745502008,62192.41
22-Aug-25,23133.85,23144.55,22980.85,22991.3,3223528373,61311.1
21-Aug-25,23221.75,23230.95,23126.75,23137.15,2342917634,77424.18
20-Aug-25,23067.7,23171.15,23025.85,23143.15,2925327540,74477.32
19-Aug-25,22959.5,23077.1,22908.15,23066.6,2325042242,67565.6
18-Aug-25,22958.3,23040.85,22913.05,22931.5,2389678600,87578.2
14-Aug-25,22713.65,22754.15,22646.7,22680.25,2056948849,65640.61
13-Aug-25,22655.15,22733.8,22624.45,22698.1,2094136243,68829.66
12-Aug-25,22633.65,22730.25,22554.3,22568.6,1512961043,61616.81
11-Aug-25,22447.55,22650.1,22406,22633.45,1538568678,64340.74
8-Aug-25,22680.9,22690.35,22419.7,22443.15,1706464753,81985.79
7-Aug-25,22563.4,22726.9,22425.85,22694.1,2051703407,79884.39
6-Aug-25,22807.55,22818.2,22622.35,22666.85,1576344145,69247.01
5-Aug-25,22869.5,22878.1,22736.05,22798.5,1735090858,70925.06
4-Aug-25,22699.7,22871.6,22648.6,22860.4,1895803473,67253.57
1-Aug-25,22901.6,22917.85,22646.75,22673.65,2220917486,76532.28
31-Jul-25,22804.2,23071.25,22802.15,22914.95,2214101532,87341.83
30-Jul-25,23064.25,23070.35,22959.45,23033.55,1697161959,68131.28
29-Jul-25,22793,23024.15,22777.7,23007.35,1735802515,73558.17
28-Jul-25,22967.4,23094.85,22818.15,22846.95,2026364448,70338.58
25-Jul-25,23255.25,23255.25,22993,23014.8,2195825744,75633.55
24-Jul-25,23447.35,23449.4,23257.6,23301.1,1969073067,77473.28
23-Jul-25,23382.4,23435.55,23296,23428.4,1995956007,73252.1
22-Jul-25,23449.75,23456,23306.4,23320.9,2031812918,80149.39
21-Jul-25,23296.75,23394.5,23184.9,23378.45,1759544320,68107.89
18-Jul-25,23430,23449.45,23240.85,23275.15,1971061232,72305.23
17-Jul-25,23507.65,23514.7,23409.05,23419.7,2195098616,74135.99
16-Jul-25,23458.9,23502.9,23403.5,23472.5,2858894576,73895.98
15-Jul-25,23334.55,23469.45,23332.8,23449.15,2709069677,76469.04
14-Jul-25,23290.15,23329.2,23200.1,23309.05,3997772876,80060.37
11-Jul-25,23408.8,23462.35,23256.3,23282.7,2231874802,77835.88
10-Jul-25,23595.85,23605.5,23444.95,23471.4,2022308976,67281.5
9-Jul-25,23576.45,23613.9,23513.85,23557.45,2348736612,74180.3
8-Jul-25,23540.6,23600.35,23469.95,23572.55,2930217619,72719.4
7-Jul-25,23561.6,23595.3,23506.5,23551.2,2422513949,57859.16
4-Jul-25,23553.45,23570.9,23448.9,23562.45,1879048138,70306.02
3-Jul-25,23591.8,23647.1,23503.55,23521.85,2357618494,76882.5
2-Jul-25,23653.05,23669.3,23463.85,23547.25,2620390772,81637.23
1-Jul-25,23659.75,23669.95,23558.9,23615.45,2565390058,83693.8
30-Jun-25,23672.35,23677.55,23563,23617.2,2461348827,90104.23
27-Jun-25,23566.7,23644.35,23538.55,23620.15,3423284634,135018.53
26-Jun-25,23341.2,23529.65,23319.85,23517.55,2922694268,98785.87
25-Jun-25,23216.15,23303.65,23190.85,23296.85,3045279437,83671.28
24-Jun-25,23212.3,23307.95,23074.25,23113.2,3108757583,95206.77
23-Jun-25,22880.35,23063.35,22837.8,23001.5,2093700999,76838.45
20-Jun-25,22760.65,23064.7,22760.6,23041.1,3254963600,140283.69
19-Jun-25,22921.6,22973.15,22712.55,22763.5,2389378870,74401.91
18-Jun-25,22937.75,23066.85,22868.35,22925.2,1950770329,75403.48
17-Jun-25,23126.8,23128.5,22959.15,22981.5,2947987402,86874.43
16-Jun-25,22914.85,23106.7,22789.4,23095.05,2351850067,73767.57
13-Jun-25,22631.7,22932.25,22631.7,22906.2,2553330578,86245.25
12-Jun-25,23363.5,23370.3,23009.65,23046.45,2576209064,91887.39
11-Jun-25,23376.6,23423.6,23271.4,23337.85,3579625281,96402.11
10-Jun-25,23422.3,23423.8,23287.35,23339.95,3082009890,94776.63
9-Jun-25,23308.65,23335.35,23254.55,23330.55,3180558025,93051.43
6-Jun-25,22962,23180.35,22891.6,23165.1,2917887629,107492.95
5-Jun-25,22879.2,23026.3,22828.85,22934.5,2552379535,100542.23
4-Jun-25,22742.2,22823.95,22667.9,22807.85,3151469831,94653.79
3-Jun-25,22906.2,22946.15,22691.25,22711.3,4543550869,98343.78
2-Jun-25,22758.6,22863.35,22664.15,22834.5,3889942785,89672.83
30-May-25,22868.25,22912.3,22759.15,22801.95,5212818401,149673.09
29-May-25,22859.45,22899.15,22750.15,22861.35,2618095254,89813.84
28-May-25,22843.25,22871.2,22765.7,22779.4,3299141014,95277.13
27-May-25,22895.05,22963.1,22721.8,22816.5,2465907563,103402.78
26-May-25,22852.7,22970.7,22845.4,22908.3,2489824846,75238.16
23-May-25,22628.75,22813.25,22580.8,22781.05,2549938267,78693.36
22-May-25,22674,22675.35,22464.45,22595,2451986784,91345.52
21-May-25,22632.4,22811.95,22577.4,22730.65,2422786618,83302.61
20-May-25,22942.65,22958.6,22565.55,22585.6,2872955317,99442.63
19-May-25,22896.25,22965.05,22827.65,22865.8,3861105061,96396.98
16-May-25,22825.55,22885.35,22750.35,22870.9,3213675531,132547.9
15-May-25,22547.05,22814.1,22408.65,22788.8,2875837613,110620.39
14-May-25,22402.65,22544.9,22366.4,22499.5,2539598652,99117.63
13-May-25,22491.5,22575.7,22317.5,22349.4,2588028924,100344.03
12-May-25,22149.4,22525,22126.4,22511.4,2945351144,91122.42
9-May-25,21463.75,21716.05,21463.75,21675.55,2860137749,82661.5
8-May-25,22109.35,22145.2,21730.55,21843.05,2455656286,93122.42
7-May-25,21756.8,22084.7,21752.9,22072.45,2386243472,89673.87
6-May-25,22235.6,22244.5,21916.9,21956.6,2381373406,79384.26
5-May-25,22086.25,22209.95,22070.95,22195.15,1817617225,78635.48
2-May-25,22009.95,22238.9,21920.85,22006,2106053122,87309.72
30-Apr-25,22119.2,22175,21920.55,22030.05,2190852411,97900.49
29-Apr-25,22160.75,22255.9,22084.55,22112.4,2189178548,91388.1
28-Apr-25,21843.45,22125.45,21841.4,22101.85,2025395201,78912.2
25-Apr-25,22220.3,22271.85,21661.6,21848.15,4098236380,99678.14
24-Apr-25,22217.65,22270.15,22155.4,22180.65,2434856288,95275.33
23-Apr-25,22238.6,22263.85,21988.35,22237.6,2625770895,101379.21
22-Apr-25,22072,22157.95,21953.4,22085.15,2839952324,94522.17
21-Apr-25,21787.05,22033.75,21732.45,22005.75,3318620552,91564.24
17-Apr-25,21379.35,21704.1,21296.35,21681.55,2452911873,90149.35
16-Apr-25,21302.75,21414.85,21246.4,21404.35,2306862681,79704.38
15-Apr-25,21199.05,21302.75,21067.6,21279.4,2310441317,88221.07
11-Apr-25,20684.85,20817.5,20629,20752.85,2214958998,82830.7
9-Apr-25,20422.95,20423.25,20252.35,20356.75,2068626830,72007.59
8-Apr-25,20430.1,20588.4,20227.15,20480.8,2410156143,84031.71
7-Apr-25,19524.25,20189.35,19519.85,20105.7,3189917820,107554.03
4-Apr-25,21199.2,21212.1,20736.8,20805.35,2537195788,87623.2
3-Apr-25,21100.55,21263.45,21096.75,21243.4,2435646555,76388.65
2-Apr-25,21101.85,21279.1,21007.15,21265.65,2568917368,67877.01
1-Apr-25,21227.1,21398.35,21042.45,21070.75,3960064673,74888.32
28-Mar-25,21439.2,21514.1,21277.9,21339.55,2888247046,90757.05
27-Mar-25,21218.4,21447.9,21195.7,21407.95,4346988667,129094.7
26-Mar-25,21464.95,21525.6,21255.7,21275.45,2441052565,79571.92
25-Mar-25,21652.85,21674.05,21385.8,21437.75,2438466361,92187.05
24-Mar-25,21427.2,21595.85,21346.8,21538.1,2609714689,89496.51
21-Mar-25,21065.25,21297,21031.45,21273.9,3553736048,132525.69
20-Mar-25,20989.35,21092.2,20873.55,21070.05,2316042501,88083.72
19-Mar-25,20713.25,20895.25,20664,20864.5,2750885277,85448.29
18-Mar-25,20418.55,20676.95,20370.2,20657.2,1945919095,72343.55
17-Mar-25,20166.6,20358.25,20166.5,20288.3,1666067471,62528.05
13-Mar-25,20337.85,20357.3,20157.5,20176.05,1790961966,61473.18
12-Mar-25,20351.9,20397.95,20108.7,20264.35,2152382085,74566.3
11-Mar-25,20122.55,20333.75,20073.4,20302.5,2006924829,73938.55
10-Mar-25,20434.95,20543.7,20230.65,20266.5,1995683586,65725.28
7-Mar-25,20428.15,20549.2,20377.6,20443.4,2018573615,68521.49
6-Mar-25,20411.45,20467.15,20262.75,20447.1,2074511409,80518
5-Mar-25,19901.6,20265.05,19901.6,20256.5,2158777579,81585.47
4-Mar-25,19736.05,19957.5,19681.65,19917.85,2094841653,74049.56
3-Mar-25,19935.55,19997.05,19658.3,19896.95,2364683403,80282.83
28-Feb-25,20185.4,20197.85,19816,19880.9,3027888284,131599.53
27-Feb-25,20436.5,20471.85,20278.65,20315.55,1918601840,82932.55
25-Feb-25,20445.55,20548.9,20388.75,20418.75,1445662333,64006.81
24-Feb-25,20510.95,20546.05,20429.3,20468.45,1442187583,59805.02
21-Feb-25,20792.05,20903.35,20616.6,20690.25,1838864109,71708.79
20-Feb-25,20645.7,20840.35,20630.2,20831.1,1645754047,66824.88
19-Feb-25,20511.2,20802.55,20459.2,20731.45,1791180337,68291.9
18-Feb-25,20663.6,20692.3,20466.75,20611.4,1724647046,62888.02
17-Feb-25,20511.05,20667.55,20339,20652.35,2003247833,65931.88
14-Feb-25,20964.6,20984.7,20476.65,20633.1,2047866992,69173.56
13-Feb-25,20926,21122,20866.5,20904.35,2130089939,69663.41
12-Feb-25,20924.15,21002,20545.75,20907.85,2543733164,84680.33
11-Feb-25,21366.25,21376.45,20860.6,20950.45,1784115065,71517
10-Feb-25,21636.2,21659.25,21301.85,21371.3,1464612272,59920.47
